Num,Character,CHRCount,CHR/million,logCHR,CHR-CD,CHR-CD%,logCHR-CD,Pinyin,Pinyin (no tone),tone,initial,final,IDS,lvl1_structure,components
240,申,2358,50.34,3.3725,1243,19.91,3.0945,shēn,shen,1,sh,en,申,S,申
241,叮,490,10.46,2.6902,244,3.91,2.3874,dīng,ding,1,d,ing,⿰口丁,⿰,⿰口丁
242,电,60278,1286.86,4.7802,5807,93.02,3.764,diàn,dian,4,d,ian,⿻日乚,⿻,⿻日乚
243,号,21571,460.51,4.3339,4673,74.85,3.6696,hào,hao,4,h,ao,⿱口丂,⿱,⿱口丂
244,田,1819,38.83,3.2598,625,10.01,2.7959,tián,tian,2,t,ian,田,S,田
245,由,15733,335.88,4.1968,4951,79.3,3.6947,yóu,you,2,y,ou,由,S,由
246,只,117406,2506.47,5.0697,6238,99.92,3.795,zhī,zhi,1,zh,i,⿱口八,⿱,⿱口八
247,叭,287,6.13,2.4579,194,3.11,2.2878,bā,ba,1,b,a,⿰口八,⿰,⿰口八
248,史,8002,170.83,3.9032,2553,40.89,3.4071,shǐ,shi,3,sh,i,史,S,史
249,央,891,19.02,2.9499,524,8.39,2.7193,yāng,yang,1,y,ang,央,S,央
250,兄,14373,306.85,4.1575,3534,56.61,3.5483,xiōng,xiong,1,x,iong,⿱口儿,⿱,⿱口儿
251,叽,224,4.78,2.3502,110,1.76,2.0414,jī,ji,1,j,i,⿰口几,⿰,⿰口几
252,叼,96,2.05,1.9823,82,1.31,1.9138,diāo,diao,1,d,iao,⿰口刁,⿰,⿰口刁
253,叫,41269,881.04,4.6156,5999,96.09,3.7781,jiào,jiao,4,j,iao,⿰口丩,⿰,⿰口丩
254,叩,26,0.56,1.415,15,0.24,1.1761,kòu,kou,4,k,ou,⿰口卩,⿰,⿰口卩
255,叨,521,11.12,2.7168,373,5.97,2.5717,dāo,dao,1,d,ao,⿰口刀,⿰,⿰口刀
256,另,13372,285.48,4.1262,4877,78.12,3.6882,lìng,ling,4,l,ing,⿱口力,⿱,⿱口力
257,叹,480,10.25,2.6812,335,5.37,2.525,tàn,tan,4,t,an,⿰口又,⿰,⿰口又
258,冉,54,1.15,1.7324,26,0.42,1.415,rǎn,ran,3,r,an,冉,S,冉
259,皿,51,1.09,1.7076,44,0.7,1.6435,mǐn,min,3,m,in,皿,S,皿
260,凹,150,3.2,2.1761,108,1.73,2.0334,āo,ao,1,,ao,凹,S,凹
261,囚,1119,23.89,3.0488,581,9.31,2.7642,qiú,qiu,2,q,iu,⿴囗人,⿴,⿴囗人
262,四,13242,282.7,4.122,4378,70.13,3.6413,sì,si,4,s,i,⿴囗儿,⿴,⿴囗儿
263,生,162725,3473.98,5.2115,6237,99.9,3.795,shēng,sheng,1,sh,eng,生,S,生
264,矢,123,2.63,2.0899,92,1.47,1.9638,shǐ,shi,3,sh,i,⿱𠂉大,⿱,⿱𠂉大
265,失,28189,601.8,4.4501,5761,92.28,3.7605,shī,shi,1,sh,i,⿰丿夫,⿰,⿰丿夫
266,乍,80,1.71,1.9031,65,1.04,1.8129,zhà,zha,4,zh,a,乍,S,乍
267,禾,7,0.15,0.8451,6,0.1,0.7782,hé,he,2,h,e,⿱丿木,⿱,⿱丿木
268,丘,507,10.82,2.705,235,3.76,2.3711,qiū,qiu,1,q,iu,丘,S,丘
269,付,10729,229.05,4.0306,4134,66.22,3.6164,fù,fu,4,f,u,⿰亻寸,⿰,⿰亻寸
270,仗,832,17.76,2.9201,522,8.36,2.7177,zhàng,zhang,4,zh,ang,⿰亻丈,⿰,⿰亻丈
271,代,15142,323.26,4.1802,4747,76.04,3.6764,dài,dai,4,d,ai,⿰亻弋,⿰,⿰亻弋
272,仙,1174,25.06,3.0697,543,8.7,2.7348,xiān,xian,1,x,ian,⿰亻山,⿰,⿰亻山
273,们,701754,14981.59,5.8462,6243,100,3.7954,men,men,0,m,en,⿰亻门,⿰,⿰亻门
274,仪,2427,51.81,3.3851,1314,21.05,3.1186,yí,yi,2,y,i,⿰亻义,⿰,⿰亻义
275,白,41987,896.37,4.6231,6007,96.22,3.7787,bái,bai,2,b,ai,白,S,白
276,仔,3497,74.66,3.5437,1930,30.91,3.2856,zǎi,zai,3,z,ai,⿰亻子,⿰,⿰亻子
277,他,564477,12050.89,5.7516,6242,99.98,3.7953,tā,ta,1,t,a,⿰亻也,⿰,⿰亻也
278,斥,423,9.03,2.6263,357,5.72,2.5527,chì,chi,4,ch,i,⿻斤丶,⿻,⿻斤丶
279,瓜,3315,70.77,3.5205,1838,29.44,3.2643,guā,gua,1,g,ua,瓜,S,瓜
280,乎,11683,249.42,4.0676,4473,71.65,3.6506,hū,hu,1,h,u,乎,S,乎
281,丛,744,15.88,2.8716,465,7.45,2.6675,cóng,cong,2,c,ong,⿱从一,⿱,⿱从一
282,令,12327,263.17,4.0909,3942,63.14,3.5957,lìng,ling,4,l,ing,⿱亽龴,⿱,⿱亽龴
283,用,79299,1692.94,4.8993,6222,99.66,3.7939,yòng,yong,4,y,ong,⿵冂⿻二丨,⿵,⿵冂⿻二丨
284,甩,1719,36.7,3.2353,1099,17.6,3.041,shuǎi,shuai,3,sh,uai,⿵冂⿻二乚,⿵,⿵冂⿻二乚
285,印,6629,141.52,3.8214,2844,45.56,3.4539,yìn,yin,4,y,in,⿰③卩,⿰,⿰③卩
286,尔,41284,881.36,4.6158,3793,60.76,3.579,ěr,er,3,,er,⿱𠂊小,⿱,⿱𠂊小
287,乐,26456,564.8,4.4225,5115,81.93,3.7088,lè,le,4,l,e,乐,S,乐
288,句,6640,141.76,3.8222,3467,55.53,3.54,jù,ju,4,j,u,⿹勹口,⿹,⿹勹口
289,匆,514,10.97,2.711,320,5.13,2.5051,cōng,cong,1,c,ong,⿻勿丶,⿻,⿻勿丶
290,册,1372,29.29,3.1374,916,14.67,2.9619,cè,ce,4,c,e,册,S,册
291,卯,25,0.53,1.3979,21,0.34,1.3222,mǎo,mao,3,m,ao,⿰𠂎卩,⿰,⿰𠂎卩
292,犯,17722,378.34,4.2485,4313,69.09,3.6348,fàn,fan,4,f,an,⿰犭㔾,⿰,⿰犭㔾
293,外,31747,677.76,4.5017,5860,93.87,3.7679,wài,wai,4,w,ai,⿰夕卜,⿰,⿰夕卜
294,处,28742,613.61,4.4585,5835,93.46,3.766,chù,chu,4,ch,u,⿺夂卜,⿺,⿺夂卜
295,冬,1099,23.46,3.041,567,9.08,2.7536,dōng,dong,1,d,ong,⿱夂⺀,⿱,⿱夂⺀
296,鸟,3408,72.76,3.5325,1509,24.17,3.1787,niǎo,niao,3,n,iao,⿹④一,⿹,⿹④一
297,务,13515,288.53,4.1308,4130,66.15,3.616,wù,wu,4,w,u,⿱夂力,⿱,⿱夂力
298,包,13742,293.37,4.138,4583,73.41,3.6611,bāo,bao,1,b,ao,⿹勹巳,⿹,⿹勹巳
299,饥,612,13.07,2.7868,450,7.21,2.6532,jī,ji,1,j,i,⿰饣几,⿰,⿰饣几
300,主,28628,611.17,4.4568,5684,91.05,3.7547,zhǔ,zhu,3,zh,u,⿱亠土,⿱,⿱亠土
301,市,10453,223.16,4.0192,3571,57.2,3.5528,shì,shi,4,sh,i,⿱亠巾,⿱,⿱亠巾
302,立,10194,217.63,4.0083,3980,63.75,3.5999,lì,li,4,l,i,⿱⿱亠丷一,⿱,⿱⿱亠丷一
303,冯,129,2.75,2.1106,44,0.7,1.6435,féng,feng,2,f,eng,⿰冫马,⿰,⿰冫马
304,玄,190,4.06,2.2788,102,1.63,2.0086,xuán,xuan,2,x,uan,⿱亠幺,⿱,⿱亠幺
305,闪,3410,72.8,3.5328,1682,26.94,3.2258,shǎn,shan,3,sh,an,⿵门人,⿵,⿵门人
306,兰,12472,266.26,4.0959,2504,40.11,3.3986,lán,lan,2,l,an,⿱丷三,⿱,⿱丷三
307,半,10910,232.92,4.0378,4341,69.53,3.6376,bàn,ban,4,b,an,⿱丷⿻二丨,⿱,⿱丷⿻二丨
308,汁,1591,33.97,3.2017,929,14.88,2.968,zhī,zhi,1,zh,i,⿰氵十,⿰,⿰氵十
309,汇,1737,37.08,3.2398,1061,17,3.0257,huì,hui,4,h,ui,⿰氵匚,⿰,⿰氵匚
310,头,49069,1047.56,4.6908,6092,97.58,3.7848,tóu,tou,2,t,ou,头,S,头
311,汉,4874,104.05,3.6879,1677,26.86,3.2245,hàn,han,4,h,an,⿰氵又,⿰,⿰氵又
312,宁,2523,53.86,3.4019,1582,25.34,3.1992,níng,ning,2,n,ing,⿱宀丁,⿱,⿱宀丁
313,穴,705,15.05,2.8482,384,6.15,2.5843,xué,xue,2,x,ue,⿱宀八,⿱,⿱宀八
314,它,61272,1308.08,4.7873,5950,95.31,3.7745,tā,ta,1,t,a,⿱宀匕,⿱,⿱宀匕
315,讨,10151,216.71,4.0065,4152,66.51,3.6183,tǎo,tao,3,t,ao,⿰讠寸,⿰,⿰讠寸
316,写,16083,343.35,4.2064,4244,67.98,3.6278,xiě,xie,3,x,ie,⿱冖与,⿱,⿱冖与
317,让,125114,2671.03,5.0973,6230,99.79,3.7945,ràng,rang,4,r,ang,⿰讠上,⿰,⿰讠上
318,礼,14769,315.3,4.1694,4012,64.26,3.6034,lǐ,li,3,l,i,⿰礻乚,⿰,⿰礻乚
319,训,5113,109.16,3.7087,2258,36.17,3.3537,xùn,xun,4,x,un,⿰讠川,⿰,⿰讠川
320,议,14943,319.01,4.1744,4282,68.59,3.6316,yì,yi,4,y,i,⿰讠义,⿰,⿰讠义
